iter	RMSE
0	11658.36597
1	11295.58522
2	10966.2067
3	10631.89908
4	10333.59768
5	10040.29215
6	9748.46875
7	9483.193589
8	9228.656674
9	8979.482507
10	8735.967897
11	8531.4293
12	8302.544919
13	8092.669866
14	7886.675944
15	7699.409235
16	7524.922331
17	7340.644182
18	7187.51121
19	7037.521968
20	6905.150255
21	6759.87544
22	6628.672564
23	6500.22741
24	6380.671068
25	6268.320833
26	6165.801483
27	6073.135561
28	5970.88047
29	5874.063171
30	5783.994738
31	5702.165628
32	5618.835496
33	5541.36424
34	5482.932233
35	5415.154963
36	5348.902944
37	5292.117858
38	5235.660181
39	5179.608786
40	5140.779809
41	5091.777122
42	5047.260396
43	5006.0453
44	4965.056691
45	4926.346147
46	4891.997351
47	4857.990342
48	4824.620785
49	4802.114419
50	4771.841407
51	4747.886847
52	4721.338556
53	4696.510546
54	4672.594587
55	4652.82912
56	4631.879211
57	4615.092581
58	4598.718982
59	4581.316382
60	4563.629295
61	4546.377219
62	4531.133164
63	4516.572419
64	4503.932322
65	4486.007979
66	4478.363014
67	4466.895313
68	4460.09938
69	4448.122902
70	4434.447748
71	4423.253682
72	4410.166936
73	4401.037626
74	4390.65033
75	4384.650109
76	4378.207978
77	4371.4115
78	4363.30901
79	4356.284286
80	4351.939402
81	4344.402195
82	4337.838669
83	4328.730623
84	4321.753553
85	4315.243561
86	4304.992278
87	4297.083061
88	4292.437356
89	4287.262834
90	4280.991554
91	4276.434949
92	4271.149324
93	4266.89231
94	4262.268587
95	4256.68727
96	4252.056981
97	4247.929627
98	4243.268703
99	4237.393035
100	4234.738286
101	4230.924669
102	4224.154448
103	4219.988493
104	4214.794244
105	4210.398628
106	4204.630258
107	4200.024813
108	4197.653307
109	4194.54144
110	4191.934541
111	4189.777985
112	4187.373231
113	4183.665908
114	4179.420222
115	4177.313206
116	4174.752589
117	4166.838538
118	4164.127888
119	4161.094606
120	4156.570044
121	4153.868623
122	4151.315349
123	4148.203062
124	4145.279903
125	4143.285291
126	4140.865852
127	4136.979905
128	4135.123133
129	4132.089974
130	4130.978772
131	4126.454431
132	4123.5903
133	4119.767706
134	4116.676939
135	4114.281068
136	4110.602519
137	4109.743009
138	4106.130396
139	4103.548602
140	4101.061517
141	4098.030808
142	4088.535354
143	4086.225256
144	4082.590617
145	4077.51108
146	4074.954014
147	4071.917085
148	4070.146823
149	4069.983271
150	4066.207333
151	4062.534076
152	4061.915348
153	4058.160775
154	4054.676187
155	4050.720372
156	4046.724199
157	4041.742338
158	4040.284024
159	4038.435437
160	4036.073567
161	4033.834573
162	4032.065253
163	4027.770085
164	4026.152415
165	4024.005749
166	4022.606811
167	4020.267575
168	4015.911033
169	4011.562231
170	4009.310681
171	4006.459304
172	4004.182079
173	4002.534535
174	4000.632202
175	4000.068896
176	3998.093834
177	3996.379235
178	3994.556186
179	3991.71271
180	3988.820253
181	3984.981195
182	3981.552123
183	3979.995637
184	3976.453913
185	3974.303391
186	3972.336924
187	3969.571551
188	3967.449453
189	3960.997232
190	3958.311423
191	3956.267412
192	3954.355769
193	3949.130092
194	3946.129808
195	3943.577414
196	3941.071909
197	3939.323218
198	3937.740752
199	3932.617204
200	3930.270303
201	3925.135134
202	3923.469004
203	3921.817401
204	3919.021181
205	3916.95858
206	3913.885703
207	3911.637163
208	3910.729635
209	3906.956952
210	3903.164163
211	3901.102944
212	3898.707485
213	3897.156724
214	3895.285564
215	3892.594976
216	3889.424084
217	3885.9276
218	3885.275578
219	3883.891434
220	3883.044088
221	3880.995601
222	3879.818702
223	3877.979911
224	3875.167568
225	3872.330276
226	3871.150704
227	3869.321339
228	3867.079218
229	3865.40362
230	3863.688408
231	3861.997215
232	3860.093509
233	3858.164936
234	3855.835988
235	3853.427231
236	3850.939729
237	3849.989718
238	3848.117147
239	3845.30901
240	3842.23095
241	3841.782612
242	3839.674747
243	3838.670626
244	3835.324103
245	3833.472141
246	3832.641941
247	3829.366361
248	3827.921312
249	3827.471431
250	3826.995722
251	3825.347357
252	3824.824327
253	3822.915324
254	3822.427176
255	3820.055124
256	3819.567272
257	3818.286761
258	3815.375468
259	3813.751063
260	3811.88266
261	3808.238381
262	3807.706252
263	3807.204693
264	3804.084747
265	3801.76408
266	3798.213208
267	3795.952636
268	3793.963848
269	3789.473594
270	3789.000868
271	3787.512946
272	3784.875379
273	3783.261169
274	3782.250999
275	3781.144916
276	3779.041311
277	3773.965808
278	3773.119066
279	3772.748847
280	3770.428287
281	3767.477314
282	3764.350504
283	3762.281466
284	3761.547412
285	3761.045237
286	3760.097535
287	3758.278672
288	3757.121333
289	3756.688651
290	3752.827676
291	3752.385763
292	3750.637839
293	3749.711129
294	3746.475735
295	3744.251159
296	3741.928444
297	3739.027384
298	3737.546919
299	3735.434922
300	3734.89052
301	3733.978649
302	3732.641407
303	3731.743441
304	3730.277952
305	3727.955741
306	3726.269328
307	3723.205158
308	3722.14871
309	3720.917467
310	3720.38388
311	3719.068645
312	3716.694373
313	3715.555275
314	3713.596646
315	3711.62119
316	3711.155584
317	3709.228215
318	3707.403399
319	3706.30412
320	3705.437017
321	3704.203124
322	3702.94517
323	3702.438534
324	3698.973743
325	3694.956861
326	3694.471586
327	3692.406968
328	3692.014391
329	3691.326795
330	3690.543603
331	3688.793355
