iter	Passed	Remaining
0	1	1280
1	2	1107
2	3	1065
3	3	960
4	5	1006
5	6	1051
6	7	1081
7	8	1062
8	9	1048
9	10	1041
10	12	1112
11	13	1102
12	14	1087
13	15	1091
14	16	1075
15	17	1060
16	18	1050
17	19	1043
18	20	1032
19	20	1018
20	22	1041
21	23	1037
22	24	1047
23	26	1062
24	27	1066
25	28	1060
26	28	1037
27	29	1035
28	30	1029
29	31	1021
30	32	1015
31	33	1010
32	34	1009
33	35	1003
34	36	998
35	37	993
36	38	989
37	38	985
38	39	980
39	40	969
40	40	952
41	41	954
42	42	950
43	43	947
44	44	945
45	45	941
46	46	938
47	47	935
48	48	933
49	48	930
50	49	930
51	50	929
52	52	929
53	53	936
54	54	935
55	55	933
56	56	930
57	57	926
58	57	919
59	58	915
60	59	913
61	60	911
62	61	909
63	62	908
64	63	907
65	63	905
66	64	894
67	65	901
68	66	891
69	67	902
70	69	906
71	70	908
72	71	906
73	72	906
74	73	904
75	73	897
76	74	889
77	75	886
78	75	883
79	76	883
80	77	878
81	78	876
82	79	873
83	80	877
84	81	876
85	82	874
86	83	875
87	84	876
88	85	873
89	86	873
90	87	872
91	88	871
92	89	870
93	90	869
94	91	867
95	92	867
96	93	865
97	93	864
98	94	862
99	95	861
100	96	858
101	97	860
102	99	863
103	100	861
104	101	863
105	102	862
106	103	861
107	104	861
108	105	860
109	106	859
110	107	863
111	108	862
112	109	860
113	110	858
114	111	857
115	112	854
116	113	852
117	113	851
118	114	850
119	115	850
120	117	851
121	118	850
122	120	860
123	121	859
124	122	857
125	123	856
126	124	855
127	125	853
128	126	852
129	127	856
130	129	859
131	132	874
132	133	872
133	134	871
134	136	875
135	138	877
136	139	875
137	139	871
138	140	873
139	141	871
140	143	875
141	144	873
142	146	876
143	147	875
144	148	873
145	149	873
146	150	874
147	151	873
148	154	881
149	154	877
150	155	876
151	157	876
152	157	873
153	158	871
154	160	873
155	161	874
156	162	872
157	163	871
158	164	870
159	165	868
160	166	867
161	167	865
162	168	863
163	169	861
164	169	860
165	171	860
166	172	861
167	173	860
168	174	860
169	176	862
170	177	862
171	178	861
172	180	860
173	182	866
174	183	864
175	184	862
176	186	866
177	187	866
178	189	868
179	190	867
180	192	869
181	193	869
182	195	873
183	196	871
184	197	871
185	198	869
186	200	871
187	201	870
188	202	868
189	203	866
190	204	865
191	205	863
192	206	862
193	207	860
194	208	861
195	209	860
196	210	859
197	213	865
198	218	880
199	220	880
200	222	885
201	223	883
202	224	881
203	226	882
204	226	880
205	227	878
206	229	879
207	231	881
208	232	880
209	233	879
210	235	879
211	236	877
212	237	875
213	238	874
214	239	872
215	239	871
216	241	870
217	242	869
218	243	867
219	244	867
220	246	870
221	249	874
222	250	872
223	252	874
224	253	872
225	254	870
226	255	869
227	256	867
228	257	865
229	257	863
230	259	862
231	261	864
232	262	863
233	263	861
234	265	864
235	266	862
236	267	861
237	268	859
238	269	857
239	271	859
240	272	858
241	273	855
242	275	858
243	276	857
244	277	855
245	279	855
246	280	855
247	281	853
248	283	854
249	284	852
250	284	850
251	285	848
252	286	846
253	287	844
254	288	842
255	289	841
256	290	839
257	292	841
258	293	840
259	294	839
260	295	837
261	296	835
262	297	834
263	298	833
264	300	833
265	301	831
266	302	830
267	304	831
268	306	833
269	309	836
270	310	835
271	311	834
272	312	833
273	314	832
274	315	831
275	317	832
276	318	830
277	319	828
278	319	826
279	320	824
280	321	823
281	322	822
282	323	820
283	324	819
284	325	817
285	327	816
286	328	815
287	329	814
288	330	813
289	333	815
290	333	813
291	334	812
292	336	811
293	337	810
294	338	808
295	339	807
296	340	805
297	341	803
298	342	801
299	342	800
300	343	798
301	345	799
302	347	798
303	347	796
304	348	794
305	349	792
306	350	791
307	351	789
308	352	787
309	353	786
310	354	784
311	355	783
312	356	781
313	356	779
314	357	777
315	358	776
316	359	774
317	360	772
318	360	770
319	361	769
320	362	767
321	363	765
322	364	763
323	365	762
324	366	760
325	367	758
326	367	757
327	368	755
328	369	754
329	370	752
330	371	751
331	373	752
332	375	751
333	376	749
334	376	748
335	378	747
336	379	745
337	379	743
338	381	743
339	382	742
340	383	740
341	384	738
342	384	737
343	385	735
344	386	733
345	387	732
346	388	730
347	389	729
348	390	727
349	391	726
350	391	724
351	393	723
352	393	721
353	394	720
354	395	718
355	397	718
356	398	717
357	399	715
358	400	715
359	402	716
360	403	714
361	405	714
362	406	713
363	407	711
364	408	710
365	409	708
366	410	707
367	410	705
368	411	704
369	412	702
370	413	701
371	414	699
372	415	698
373	416	696
374	417	695
375	417	693
376	418	691
377	419	690
378	420	689
379	421	687
380	422	685
381	423	684
382	423	682
383	424	681
384	425	679
385	426	678
386	429	679
387	430	678
388	430	676
389	432	676
390	433	674
391	434	673
392	435	672
393	436	671
394	437	670
395	438	669
396	439	668
397	440	666
398	441	665
399	442	663
400	443	662
401	444	661
402	445	659
403	446	658
404	446	656
405	447	655
406	448	653
407	449	652
408	450	650
409	451	649
410	452	648
411	453	646
412	453	645
413	454	643
414	455	642
415	456	640
416	457	639
417	458	637
418	459	636
419	460	635
420	460	633
421	462	633
422	463	631
423	464	631
424	465	630
425	466	629
426	467	627
427	468	626
428	469	624
429	470	623
430	471	622
431	472	620
432	473	619
433	474	618
434	475	616
435	475	615
436	476	614
437	477	613
438	478	611
439	479	610
440	480	608
441	481	607
442	483	607
443	484	606
444	485	605
445	486	604
446	487	602
447	488	601
448	489	600
449	490	599
450	491	598
451	492	597
452	493	595
453	494	594
454	495	593
455	496	592
456	497	591
457	498	590
458	499	588
459	500	587
460	501	586
461	502	584
462	503	583
463	504	582
464	505	581
465	506	580
466	507	578
467	508	577
468	509	576
469	510	575
470	513	576
471	514	575
472	515	574
473	516	572
474	516	571
475	518	570
476	519	569
477	520	568
478	521	567
479	522	566
480	523	564
481	524	563
482	525	562
483	526	561
484	527	560
485	528	558
486	529	557
487	530	556
488	531	555
489	531	553
490	532	552
491	533	551
492	534	549
493	535	548
494	536	547
495	537	546
496	538	544
497	539	543
498	540	542
499	541	541
500	542	539
501	542	538
502	543	537
503	544	536
504	545	535
505	546	533
506	548	533
507	549	532
508	550	531
509	551	530
510	553	529
511	554	528
512	555	526
513	556	525
514	556	524
515	557	523
516	558	521
517	559	520
518	560	519
519	561	518
520	562	517
521	563	515
522	564	514
523	565	513
524	566	512
525	566	510
526	567	509
527	568	508
528	569	506
529	570	505
530	571	504
531	571	503
532	572	501
533	573	500
534	574	499
535	575	498
536	576	497
537	577	495
538	578	494
539	579	493
540	581	493
541	582	491
542	583	490
543	584	489
544	585	488
545	586	487
546	587	486
547	587	484
548	588	483
549	589	482
550	590	481
551	591	480
552	593	479
553	594	478
554	594	477
555	595	475
556	596	474
557	597	473
558	598	472
559	599	471
560	600	469
561	601	469
562	603	468
563	603	466
564	604	465
565	605	464
566	606	463
567	607	462
568	608	460
569	610	460
570	611	459
571	612	458
572	613	457
573	614	455
574	615	454
575	616	453
576	616	452
577	617	451
578	619	450
579	620	449
580	620	447
581	621	446
582	622	445
583	623	444
584	624	442
585	625	441
586	626	440
587	627	439
588	627	438
589	629	437
590	630	436
591	631	435
592	632	434
593	633	433
594	634	431
595	635	431
596	638	431
597	639	430
598	641	429
599	641	427
600	642	426
601	643	425
602	644	424
603	645	423
604	646	422
605	647	421
606	649	420
607	650	419
608	651	418
609	652	417
610	653	416
611	654	415
612	655	413
613	657	413
614	659	412
615	660	411
616	661	410
617	662	409
618	663	408
619	664	406
620	664	405
621	665	404
622	666	403
623	667	402
624	668	401
625	669	399
626	670	398
627	671	397
628	672	396
629	673	395
630	673	394
631	674	392
632	675	391
633	676	390
634	677	389
635	678	388
636	679	387
637	682	387
638	685	387
639	686	386
640	687	385
641	688	383
642	689	382
643	690	381
644	691	380
645	692	379
646	692	378
647	694	377
648	696	376
649	697	375
650	699	374
651	701	374
652	703	373
653	704	372
654	705	371
655	706	370
656	707	369
657	708	368
658	709	367
659	710	365
660	711	364
661	712	363
662	713	362
663	714	361
664	715	360
665	716	359
666	717	358
667	719	357
668	720	356
669	722	355
670	723	354
671	724	353
672	724	352
673	725	351
674	726	349
675	727	348
676	728	347
677	730	346
678	731	345
679	732	344
680	733	343
681	734	342
682	735	341
683	736	340
684	737	339
685	739	338
686	740	337
687	742	336
688	744	335
689	745	334
690	746	334
691	748	332
692	749	332
693	750	330
694	751	329
695	752	328
696	753	327
697	754	326
698	755	325
699	756	324
700	756	322
701	757	321
702	758	320
703	759	319
704	760	318
705	761	317
706	762	315
707	763	314
708	764	313
709	766	313
710	768	312
711	769	311
712	770	310
713	771	309
714	773	308
715	774	307
716	775	306
717	776	305
718	777	303
719	778	302
720	779	301
721	780	300
722	781	299
723	782	298
724	783	297
725	784	295
726	785	294
727	785	293
728	786	292
729	787	291
730	788	290
731	789	289
732	790	287
733	791	286
734	792	285
735	793	284
736	794	283
737	796	282
738	796	281
739	797	280
740	798	279
741	799	278
742	800	276
743	802	275
744	802	274
745	803	273
746	805	272
747	806	271
748	807	270
749	808	269
750	809	268
751	810	267
752	811	266
753	812	265
754	813	263
755	814	262
756	815	261
757	816	260
758	817	259
759	818	258
760	819	257
761	820	256
762	820	254
763	821	253
764	822	252
765	823	251
766	824	250
767	825	249
768	826	248
769	827	247
770	828	246
771	829	245
772	830	243
773	831	242
774	832	241
775	833	240
776	834	239
777	834	238
778	836	237
779	837	236
780	838	234
781	839	233
782	840	232
783	841	231
784	843	230
785	843	229
786	844	228
787	845	227
788	846	226
789	847	225
790	848	224
791	849	223
792	850	221
